samples,locations
There is a  boy classmate who loves touching in their private parts and threatens them not to say anything to the teacher .,"Kibera slum, Nairobi, Kenya"
A girl says that her neighbor wanted to have sex with his child but the child reported him and he was caught,"Kibera slum, Nairobi, Kenya"
A girl says there is a man who loves disturbing her when she has been sent to the shop by her parents,"Kibera slum, Nairobi, Kenya"
Someone says her friend slept with a boy after school,"Kibera slum, Nairobi, Kenya"
If a boy wants you to do sex with him and tells you that if you shout or tell anyone  he will kill you.What is the best action to take?,"Kibera slum, Nairobi, Kenya"
A girl says that a man wants to have me for himself as a wife . And she she doesn't like him and he is now spreading to other boys that she...,"Kibera slum, Nairobi, Kenya"
A girl says she has a friend who likes masturbating,"Kibera slum, Nairobi, Kenya"
If a person at the age of my father want to have a relationship with you and want to have sex with you what will you do?,"Kibera slum, Nairobi, Kenya"
There is a boy who  comes at our shop and says he wants us to be friends  but I refused if he follows me what should I do,"Kibera slum, Nairobi, Kenya"
If a boy has HIV and you sleep with him will you get HIV ?,"Kibera slum, Nairobi, Kenya"
Is condom 100% protective and if you have sex when you are experiencing your monthly period will you get pregnant?,"Kibera, Nairobi, Kenya"
"If someone tells you that he loves you and is ready to wait till you finiosh school and will never force you to do anything you don't want ,is...","Kibera, Nairobi, Kenya"
If you love somebody in your class should you tell him or not?,"Dongar Tamasi, Maharashtra, India"
I saw a friend of mine being touched by a boy .Please help her .Sheila,"Dongar Tamasi, Maharashtra, India"
"I have a friend who is pregnant and she is 12 years , her parents and friends are sayind she should abort ,what should i DO AS FRIEND","Kibera, Nairobi, Kenya"
There is a boy who likes to follow me and I don't know what to do,"Kibera, Nairobi, Kenya"
What can you do when a boy tells you he wants you?,"Kibera, Nairobi, Kenya"
If you were walking at home and a boy comes and catches your buttocks and breast is there any problem ?,"Kibera, Nairobi, Kenya"
"If your periods take long time to appear what might be wrong, If a boy is disturbing you and you have refused and he still follows you what...","Kibera,  Makina, Nairobi, Kenya"
